acheteur_categorie,ETI,GE,PME,total,pme_value_share
Région,57874806885.33,38029483541.19,174487080241.59,270391370668.11,64.53130505254288
Département outre-mer,2218163460.73,2106546855.6,5923359242.81,10248069559.14,57.79975641877941
Département,98595883072.53,101525984293.25,188209927897.03,388331795262.81,48.466267813495875
Commune,133730164276.376,190644203021.809,295315834846.184,619690202144.369,47.65539842719417
Groupement de communes,122970247422.61652,218736396007.99,236033051387.27,577739694817.8765,40.854567118099055
EPIC,53557291154.9631,48413993129.2847,51651009794.9889,153622294079.2367,33.622079467416285
Établissement hospitalier,62974541416.2422,61595437619.0664,40296485265.8762,164866464301.18478,24.441893284167808
État,28449364378.2271,37329992267.2655,18339259179.1102,84118615824.6028,21.80166542130188
Syndicat mixte,54967611946.55,99840551513.87,42344561634.742,197152725095.162,21.47805038672585
