titulaire_categorie,n,total_eur,count_share,value_share
ETI,390598,816811769712.913,21.926646962896847,27.021581407689
GE,313026,956778064824.5026,17.57205769667983,31.65191458594346
PME,1077761,1249222773611.7463,60.501295340423326,41.32650400636753
