acheteur_categorie,n,single_bid_rate,avg_offers
Département outre-mer,1700,29.705882352941178,3.0494117647058823
État,14720,29.39538043478261,8.17085597826087
Région,19064,26.54217373059169,12.649548887956357
Établissement hospitalier,29595,25.17992904206792,18.233147491130257
Syndicat mixte,32831,22.883859766683926,4.25512472967622
Groupement de communes,128093,22.167487684729064,5.7162218075929205
Commune,244870,22.126026054641237,6.840176420141299
Département,59797,21.825509640951886,8.33961569978427
EPIC,50312,17.486881857211003,7.136945460327556
