type,n,single_bid_rate,avg_offers
Fournitures,157177,28.67849621763999,8.434370168663355
Services,276637,26.515975809454268,9.87849419998048
Travaux,292173,16.110660464861574,9.049977239512208
Non catégorisé,2035,0.687960687960688,6.140540540540541
