acheteur_nom,titulaire_nom,titulaire_categorie,cpv_div,montant,offresRecues,ratio_to_median,titulaire_distance,acheteur_departement_nom,dateNotification
CC  VALLEE DES BAUX-ALPILLES (CC VBA),SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,30,300074000.0,1.0,2700.6687006687007,600.0,Bouches-du-Rhône,2025-12-15
U C A N S S,LA POSTE,GE,64,300000000.0,1.0,1562.5,11.0,Seine-Saint-Denis,2025-12-24
DEPARTEMENT DE LA SAVOIE,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,300000000.0,1.0,2170.672842375615,464.0,Savoie,2024-02-28
COMMUNE DE MIONS (MAIRIE),SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,300000000.0,1.0,2170.672842375615,414.0,Rhône,2024-03-04
COMMUNE DE DERVAL (MAIRIE),ENGIE,GE,09,300000000.0,1.0,1500.0,320.0,Loire-Atlantique,2023-02-02
RESEAU DES ACHETEURS HOSPITALIERS,AXIANS UNIT - GIE,GE,64,300000000.0,1.0,1562.5,13.0,Paris,2026-01-08
INSTITUT FRANCAIS DE RECHERCHE POUR L EXPLOITATION DE LA MER,GENAVIR,ETI,63,300000000.0,1.0,1799.9999640000005,504.0,Hauts-de-Seine,2025-12-18
COMMUNE DE FEGREAC (MAIRIE),ENGIE,GE,31,300000000.0,1.0,2500.0,349.0,Loire-Atlantique,2023-03-03
DIRECTION DE L'EVALUATION DE LA PERFORMANCE ET DES AFFAIRES FINANCIERES ET IMMOBILIERES,B-NETWORK,ETI,98,300000000.0,1.0,2323.9436456060307,686.0,Paris,2024-03-12
COMMUNE DE DREUX (MAIRIE),NXO FRANCE,GE,32,300000000.0,1.0,1807.779961843791,62.0,Eure-et-Loir,2023-04-04
COMMUNE DE SAINT-DENIS (MAIRIE),SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,300000000.0,1.0,2170.672842375615,11.0,Seine-Saint-Denis,2024-03-04
COMMUNAUTE DE COMMUNES BRETAGNE ROMANTIQUE,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,300000000.0,1.0,2170.672842375615,303.0,Ille-et-Vilaine,2024-03-04
COMMUNE DE MURET (MAIRIE),E.S.I. FRANCE,ETI,30,300000000.0,1.0,2700.0027000027,764.0,Haute-Garonne,2026-01-12
COLLECTIVITE EAU DU BASSIN RENNAIS,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,300000000.0,1.0,2170.672842375615,301.0,Ille-et-Vilaine,2024-02-27
COMMUNAUTE COMMUNES DU BRIANCONNAIS,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,30,300000000.0,1.0,2700.0027000027,556.0,Hautes-Alpes,2024-04-25
CC  VALLEE DES BAUX-ALPILLES (CC VBA),SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,300000000.0,1.0,2170.672842375615,600.0,Bouches-du-Rhône,2024-03-04
METROPOLE D'AIX-MARSEILLE-PROVENCE,TRANSDEV OUEST PROVENCE,GE,60,286000000.0,1.0,999.0464346303309,39.0,Bouches-du-Rhône,2024-06-05
SYNDICAT MIXTE OUVERT ESSONNE NUMERIQUE,SEQUANTIC TELECOM,ETI,72,280000000.0,1.0,1993.4217083624042,27.0,Essonne,2024-07-23
COMMUNE DE ST DENIS (MAIRIE),SEM@FOR 77,ETI,32,280000000.0,1.0,1687.2612977208717,16.0,Seine-Saint-Denis,2024-04-26
DEPARTEMENT DE LA SAVOIE,ORANGE BUSINESS SERVICES,GE,30,280000000.0,1.0,2520.00252000252,447.0,Savoie,2025-10-07
COMMUNE D ARGENTEUIL (MAIRIE),SOGETREL,ETI,48,280000000.0,1.0,2025.9613195505738,14.0,Val-d'Oise,2022-06-29
COMMUNAUTE URBAINE D'ARRAS,SOCIETE DES EAUX DU GRAND ARRAS,GE,65,263970000.0,1.0,790.3732377950931,3.0,Pas-de-Calais,2025-10-15
COLLECTIVITE EAU DU BASSIN RENNAIS,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,250000000.0,1.0,1808.8940353130124,301.0,Ille-et-Vilaine,2026-06-29
PAYS DE SAINT-GILLES-CROIX-DE-VIE AGGLOMERATION,SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,48,250000000.0,1.0,1808.8940353130124,392.0,Vendée,2024-03-04
DEPARTEMENT DE L'INDRE ET LOIRE,HELIAQ,ETI,72,250000000.0,1.0,1779.8408110378607,182.0,Indre-et-Loire,2025-08-05
RESEAU DES ACHETEURS HOSPITALIERS,MEDTRONIC FRANCE,ETI,33,246400000.0,1.0,2590.412111017662,,Paris,2023-10-20
RESEAU DES ACHETEURS HOSPITALIERS,NUTRISENS FRANCE,ETI,15,240000000.0,1.0,2000.0,393.0,Paris,2025-06-30
COMMUNE DE DRANCY (MAIRIE),COMPAGNIE FRANCAISE D'INFORMATIQUE,ETI,48,240000000.0,1.0,1736.538273900492,7.0,Seine-Saint-Denis,2026-06-05
GRAND PORT MARITIME DE DUNKERQUE,INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES,ETI,45,237748177.0,1.0,1617.1731501352895,246.0,Nord,2024-05-29
CA AGGLOMERATION CREIL SUD OISE,SUEZ EAU FRANCE,GE,90,233377505.0,1.0,1357.5378300359357,44.0,Oise,2025-12-19
RESEAU DES ACHETEURS HOSPITALIERS,CORIN FRANCE,PME,33,230400000.0,1.0,2422.2035323801515,479.0,Paris,2024-12-26
COMMUNE DE BAGNOLS-SUR-CEZE (MAIRIE),ORANGE CYBERDEFENSE FRANCE,GE,32,224000000.0,1.0,1349.8090381766972,557.0,Gard,2022-04-25
COMMUNE DE MONTREUIL (MAIRIE),COALLIA,ETI,85,221000000.0,1.0,1105.0,4.0,Seine-Saint-Denis,2024-06-11
RESEAU DES ACHETEURS HOSPITALIERS,ORANGE BUSINESS SERVICES,GE,72,200000000.0,1.0,1423.8726488302887,,Paris,2024-11-12
CC  VALLEE DES BAUX-ALPILLES (CC VBA),INMAC WSTORE,ETI,30,200000000.0,1.0,1800.0018000018,602.0,Bouches-du-Rhône,2026-06-19
COMMUNE DE MURET (MAIRIE),INMAC WSTORE,ETI,30,200000000.0,1.0,1800.0018000018,620.0,Haute-Garonne,2026-01-12
UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP),ACCENTURE,GE,72,200000000.0,1.0,1423.8726488302887,15.0,Seine-et-Marne,2023-11-30
COMMUNE DE AVRANCHES (MAIRIE),HEXADONE,GE,48,200000000.0,1.0,1447.11522825041,266.0,Manche,2024-05-29
COMMUNE DE GARGES-LES-GONESSE (MAIRIE),TOTALENERGIES ELECTRICITE ET GAZ FRANCE,GE,09,200000000.0,1.0,1000.0,18.0,Val-d'Oise,2025-03-20
DEPARTEMENT DE LA SAVOIE,ERYMA SAS,ETI,72,200000000.0,1.0,1423.8726488302887,456.0,Savoie,2024-05-29
SYNDICAT DEPARTEMENTAL D ENERGIE ET D EQUIPEMENT DU FINISTERE,HEXADONE,GE,48,200000000.0,1.0,1447.11522825041,478.0,Finistère,2024-05-29
RESEAU DES ACHETEURS HOSPITALIERS,B.BRAUN MEDICAL,ETI,33,200000000.0,1.0,2102.6072329688814,13.0,Paris,2025-10-14
REGIE CULTURELLE DE VENCE,JDG ASSURANCES,PME,66,199999998.0,1.0,2562.6096540681942,453.0,Alpes-Maritimes,2026-03-04
RESEAU DES ACHETEURS HOSPITALIERS,JOHNSON & JOHNSON MEDICAL SAS,GE,33,199260000.0,1.0,2094.8275862068967,9.0,Paris,2024-12-03
