acheteur_nom,titulaire_nom,titulaire_categorie,cpv_div,montant,offresRecues,ratio_to_median,titulaire_distance,acheteur_departement_nom,dateNotification
COMMUNAUTE D'AGGLO DE LA REGION NAZAIRIENNE ET DE L'ESTUAIRE,IVECO FRANCE,GE,34,120000000.0,1.0,1111.266894266474,571.0,Loire-Atlantique,2026-07-10
RESEAU DES ACHETEURS HOSPITALIERS,TELEFLEX MEDICAL,ETI,33,119360000.0,1.0,1254.8359966358285,588.0,Paris,2023-10-20
COMMUNE D ESSEY LES NANCY (MAIRIE),METROPOLE DU GRAND NANCY,ETI,65,117373581.0,1.0,351.437425641454,4.0,Meurthe-et-Moselle,2023-06-26
COMMUNE DE RAMONCHAMP (MAIRIE),ENGIE,GE,09,117373581.0,1.0,586.867905,350.0,Vosges,2023-07-04
SI DU CONTRAT RIVIERE WOIGOT,ENGIE,GE,09,117373581.0,1.0,586.867905,,Meurthe-et-Moselle,2026-03-18
HOSPICES CIVILS DE LYON (SIEGE ADMINISTRATIF),LANDANGER,ETI,33,116666667.0,1.0,1226.5208894028594,262.0,Rhône,2025-06-05
,ESRI FRANCE,ETI,48,116666666.67,1.0,844.1505498368577,,,2025-07-22
AGENCE DES ESPACES VERTS DE LA REGION ILE-DE-FRANCE - ILE-DE-FRANCE NATURE,SAFER DE L ILE DE FRANCE,,79,116666664.83,1.0,1166.6666483,4.0,Seine-Saint-Denis,2025-07-28
COMMUNE DE BERCK (MAIRIE),,,92,116000000.0,1.0,1786.814540973506,,Pas-de-Calais,2025-11-25
RESEAU DES ACHETEURS HOSPITALIERS,OLYMPUS FRANCE,ETI,33,115296000.0,1.0,1212.1110176619009,11.0,Paris,2023-10-26
CENTRE HOSPITALIER UNIVERSITAIRE DE LILLE,BAXTER FACONNAGE (FASONUT),ETI,33,112436040.57,1.0,1182.0441607443229,777.0,Nord,2025-12-23
RESEAU DES ACHETEURS HOSPITALIERS,CLINISYS FRANCE,PME,48,112400000.0,1.0,813.2787582767304,3.0,Paris,2025-05-27
UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP),NOREMAT,ETI,16,110000000.0,1.0,1788.327101284344,265.0,Seine-et-Marne,2025-07-25
GROUPEMENT COOPERATION SANITAIRE - UNION DES HOPITAUX POUR LES ACHATS,QUALIMEDIS,PME,33,110000000.0,1.0,1156.4339781328847,385.0,Rhône,2026-06-29
SYNDICAT AUDOIS D'ENERGIES ET DU NUMERIQUE SYADEN,ALTERNA ENERGIE,GE,09,109709000.0,1.0,548.545,404.0,Aude,2024-04-11
RESEAU DES ACHETEURS HOSPITALIERS,COOK FRANCE,PME,33,107200000.0,1.0,1126.9974768713205,6.0,Paris,2023-10-20
SYNDICAT MIXTE ETUDES POUR COORDINATION DEPARTEMENTALE DE TRAITEMENT DECHETS MENAGERS DE VENDEE,GENERALE DE VALORISATION,GE,90,105863118.38,1.0,615.7970880973407,59.0,Vendée,2026-05-04
RESEAU DES ACHETEURS HOSPITALIERS,IN LOG,PME,48,105000000.0,1.0,759.7354948314652,382.0,Paris,2025-06-10
CENTRE COMMUNAL D ACTION SOCIALE (EHPAD L'ADAGIO),GAZ DE BORDEAUX,ETI,24,104301036.0,1.0,1043.01036,,Ille-et-Vilaine,2024-11-26
COMMUNE DE ACIGNE (MAIRIE),GAZ DE BORDEAUX,ETI,24,104301036.0,1.0,1043.01036,,Ille-et-Vilaine,2024-11-26
COMMUNAUTE URBAINE D'ARRAS,KEOLIS ARRAS,GE,60,104127351.0,1.0,363.7344712029756,3.0,Pas-de-Calais,2025-10-30
COMMUNE DE BEZONS (MAIRIE),ORANGE CYBERDEFENSE FRANCE,GE,64,104000000.0,1.0,541.6666666666666,4.0,Val-d'Oise,2025-08-28
COMMUNE DE LINAS (MAIRIE),SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R (SFR),GE,64,104000000.0,1.0,541.6666666666666,23.0,Essonne,2025-08-28
COMMUNAUTE D'AGGLOMERATION ROISSY PAYS DE FRANCE,ORANGE,GE,64,104000000.0,1.0,541.6666666666666,26.0,Val-d'Oise,2025-08-28
COMMUNE DE SAINT REMY LES CHEVREUSE (MAIRIE),ORANGE,GE,64,104000000.0,1.0,541.6666666666666,22.0,Yvelines,2025-08-28
EHPAD LES BORDS DE SARTHE,BASTIDE LE CONFORT MEDICAL,ETI,85,104000000.0,1.0,520.0,576.0,Maine-et-Loire,2025-12-02
SYNDICAT DES EAUX D ILE DE FRANCE,SOGEA ILE DE FRANCE,GE,45,102910000.0,1.0,699.9981702506288,21.0,Paris,2024-04-30
GROUPEMENT COOPERATION SANITAIRE - UNION DES HOPITAUX POUR LES ACHATS,ACCURAY EUROPE,PME,33,102000000.0,1.0,1072.3296888141294,400.0,Rhône,2026-02-04
CAISSE DES ECOLES DES ABYMES (CDE),SARL CARAIBES CROC SAVEURS,,15,101760000.0,1.0,848.0,,Guadeloupe,2024-04-27
SYNDICAT DEPARTEMENTAL ENERGIES ET ENVIRONNEMENT DE LA GIRONDE,ALTERNA ENERGIE,GE,09,101078126.0,1.0,505.39063,201.0,Gironde,2026-06-05
GCS GROUPEMENT REGIONAL D'ACHATS DE PRODUITS DE SANTE GRAND EST,,,33,100215648.0,1.0,1053.570731707317,,Meuse,2023-12-20
GRAND LIEU COMMUNAUTE,SELFEE,GE,31,100000000.0,1.0,833.3333333333334,352.0,Loire-Atlantique,2024-03-28
RESEAU DES ACHETEURS HOSPITALIERS,DOCAPOSTE BPO,GE,72,100000000.0,1.0,711.9363244151443,3.0,Paris,2024-11-12
COMMUNAUTE D'AGGLOMERATION ROISSY PAYS DE FRANCE,OCTOPUS ENERGY FRANCE,ETI,09,100000000.0,1.0,500.0,19.0,Val-d'Oise,2024-12-27
REGION HAUTS-DE-FRANCE,HELIAQ,ETI,30,100000000.0,1.0,900.0009000009,,Nord,2025-04-25
RESEAU DES ACHETEURS HOSPITALIERS,CEPHEID EUROPE,ETI,38,100000000.0,1.0,965.9082676918173,,Paris,2026-04-13
UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP),ENERGREEN FRANCE,ETI,16,100000000.0,1.0,1625.7519102584945,370.0,Seine-et-Marne,2025-07-25
CENTRE NATIONAL D'ETUDES SPATIALES,COLLECTE LOCALISATION SATELLITES,ETI,71,100000000.0,1.0,930.2325581395348,594.0,Paris,2024-12-23
COMMUNE DE MURET (MAIRIE),HELIAQ,ETI,30,100000000.0,1.0,900.0009000009,261.0,Haute-Garonne,2024-04-25
