procedure,n,single_bid_rate,avg_offers
Marché passé sans publicité ni mise en concurrence préalable,36107,84.52377655302296,2.231035533276096
Marché négocié sans publicité ni mise en concurrence préalable,263,71.10266159695817,1.0760456273764258
Appel d'offres restreint,12617,26.044226044226043,86.93445351509868
Procédure adaptée,349471,20.911320252610373,5.567074235058131
Procédure avec négociation,17622,20.38361139484735,7.159630007944615
Appel d'offres ouvert,239688,17.93456493441474,10.568071826708055
Dialogue compétitif,1042,11.708253358925145,3.841650671785029
Procédure négociée avec mise en concurrence préalable,4,0.0,1.5
